sample_id,arch,platform,clock_freq_hz,boot_console_ticks,boot_mm_ticks,boot_drivers_ticks,boot_net_ticks,boot_fs_ticks,boot_initproc_ticks,boot_scheduler_ticks
nb_on-1-a8aaa52f,la64,2k1000la,100000000,40512876605,40540008020,40540414347,40551042959,40563162554,40565364819,40565364823
nbody_body_core-1-811202c0,la64,2k1000la,100000000,40512876605,40540008020,40540414347,40551042959,40563162554,40565364819,40565364823
string_body_core-1-ba27e93c,la64,2k1000la,100000000,40512876605,40540008020,40540414347,40551042959,40563162554,40565364819,40565364823
float_body_core-1-e2a17327,la64,2k1000la,100000000,40512876605,40540008020,40540414347,40551042959,40563162554,40565364819,40565364823
ext4_string_core_class-1-d6cf6951,la64,2k1000la,100000000,65575467803,65602598580,65603004789,65613590332,65625669889,65627871126,65627871154
ext4_float_core_class-1-97520414,la64,2k1000la,100000000,65575467803,65602598580,65603004789,65613590332,65625669889,65627871126,65627871154
ext4_fileio_scaled_core-1-88d95eef,la64,2k1000la,100000000,65575467803,65602598580,65603004789,65613590332,65625669889,65627871126,65627871154
ext4_math_function_attribution-1-446173d1,la64,2k1000la,100000000,65575467803,65602598580,65603004789,65613590332,65625669889,65627871126,65627871154
ext4_math_function_attribution-2-d92b5d86,la64,2k1000la,100000000,65575467803,65602598580,65603004789,65613590332,65625669889,65627871126,65627871154
ext4_math_function_attribution-3-c957ab4e,la64,2k1000la,100000000,65575467803,65602598580,65603004789,65613590332,65625669889,65627871126,65627871154
