sample_id,test,profile,counter,delta
nbody_body_core-1-811202c0,nbody_body_core,core,boot.boot_console_ticks,0
nbody_body_core-1-811202c0,nbody_body_core,core,boot.boot_drivers_ticks,0
nbody_body_core-1-811202c0,nbody_body_core,core,boot.boot_fs_ticks,0
nbody_body_core-1-811202c0,nbody_body_core,core,boot.boot_initproc_ticks,0
nbody_body_core-1-811202c0,nbody_body_core,core,boot.boot_mm_ticks,0
nbody_body_core-1-811202c0,nbody_body_core,core,boot.boot_net_ticks,0
nbody_body_core-1-811202c0,nbody_body_core,core,boot.boot_scheduler_ticks,0
nbody_body_core-1-811202c0,nbody_body_core,core,boot.clock_freq_hz,0
nbody_body_core-1-811202c0,nbody_body_core,core,ctxsw.context_switch_total,1744
nbody_body_core-1-811202c0,nbody_body_core,core,seccomp.seccomp_check_calls,0
nbody_body_core-1-811202c0,nbody_body_core,core,seccomp.seccomp_check_ticks_max,0
nbody_body_core-1-811202c0,nbody_body_core,core,seccomp.seccomp_check_ticks_total,0
nbody_body_core-1-811202c0,nbody_body_core,core,seccomp.seccomp_disabled_bypass,0
nbody_body_core-1-811202c0,nbody_body_core,core,syscall.ecall_trap_cost_ticks_max,186575523135
nbody_body_core-1-811202c0,nbody_body_core,core,syscall.ecall_trap_cost_ticks_total,187475624581
nbody_body_core-1-811202c0,nbody_body_core,core,syscall.getppid_cost_ticks_max,0
nbody_body_core-1-811202c0,nbody_body_core,core,syscall.getppid_cost_ticks_total,0
nbody_body_core-1-811202c0,nbody_body_core,core,syscall.syscall_cost_max_ticks,186575522957
nbody_body_core-1-811202c0,nbody_body_core,core,syscall.syscall_cost_ticks_total,187475617485
nbody_body_core-1-811202c0,nbody_body_core,core,syscall.syscall_getppid_total,0
nbody_body_core-1-811202c0,nbody_body_core,core,syscall.syscall_total,30
nbody_body_core-1-811202c0,nbody_body_core,core,syscall.user_unaligned_ticks_max,4021
nbody_body_core-1-811202c0,nbody_body_core,core,syscall.user_unaligned_ticks_total,62820
nbody_body_core-1-811202c0,nbody_body_core,core,syscall.user_unaligned_traps,39
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.add_interruptible_total,9
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.add_ready_total,872
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.dup_enqueue_total,0
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.fair_pick_calls,0
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.fair_scan_max,0
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.fast_path_calls,872
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.interruptible_len_max,5
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.interruptible_zombie_max,0
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.ready_len_max,2
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.ready_nonzero_nice_cur,0
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.ready_zombie_max,0
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.wake_interruptible_total,9
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.zombie_drain_calls,0
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.zombie_drain_removed,0
nbody_body_core-1-811202c0,nbody_body_core,core,taskq.zombie_drain_scan_total,0
nbody_body_core-1-811202c0,nbody_body_core,core,timer.ktimer_add_total,9
nbody_body_core-1-811202c0,nbody_body_core,core,timer.ktimer_compact_calls,0
nbody_body_core-1-811202c0,nbody_body_core,core,timer.ktimer_len_max,1
nbody_body_core-1-811202c0,nbody_body_core,core,timer.ktimer_pop_max,1
nbody_body_core-1-811202c0,nbody_body_core,core,timer.ktimer_pop_total,863
nbody_body_core-1-811202c0,nbody_body_core,core,timer.ktimer_real_wake,9
nbody_body_core-1-811202c0,nbody_body_core,core,timer.ktimer_stale_removed,0
nbody_body_core-1-811202c0,nbody_body_core,core,timer.ktimer_stale_waketask,0
nbody_body_core-1-811202c0,nbody_body_core,core,timer.timer_irq_ticks_max,18371
nbody_body_core-1-811202c0,nbody_body_core,core,timer.timer_irq_ticks_total,1948027
nbody_body_core-1-811202c0,nbody_body_core,core,timer.timer_pop_nodes_total,9
nbody_body_core-1-811202c0,nbody_body_core,core,timer.timer_pop_ticks_max,253
nbody_body_core-1-811202c0,nbody_body_core,core,timer.timer_pop_ticks_total,72844
nbody_body_core-1-811202c0,nbody_body_core,core,timer.wait_with_timeout_total,9
string_body_core-1-ba27e93c,string_body_core,core,boot.boot_console_ticks,0
string_body_core-1-ba27e93c,string_body_core,core,boot.boot_drivers_ticks,0
string_body_core-1-ba27e93c,string_body_core,core,boot.boot_fs_ticks,0
string_body_core-1-ba27e93c,string_body_core,core,boot.boot_initproc_ticks,0
string_body_core-1-ba27e93c,string_body_core,core,boot.boot_mm_ticks,0
string_body_core-1-ba27e93c,string_body_core,core,boot.boot_net_ticks,0
string_body_core-1-ba27e93c,string_body_core,core,boot.boot_scheduler_ticks,0
string_body_core-1-ba27e93c,string_body_core,core,boot.clock_freq_hz,0
string_body_core-1-ba27e93c,string_body_core,core,ctxsw.context_switch_total,2328
string_body_core-1-ba27e93c,string_body_core,core,seccomp.seccomp_check_calls,0
string_body_core-1-ba27e93c,string_body_core,core,seccomp.seccomp_check_ticks_max,0
string_body_core-1-ba27e93c,string_body_core,core,seccomp.seccomp_check_ticks_total,0
string_body_core-1-ba27e93c,string_body_core,core,seccomp.seccomp_disabled_bypass,0
string_body_core-1-ba27e93c,string_body_core,core,syscall.ecall_trap_cost_ticks_max,201316032283
string_body_core-1-ba27e93c,string_body_core,core,syscall.ecall_trap_cost_ticks_total,202449925828
string_body_core-1-ba27e93c,string_body_core,core,syscall.getppid_cost_ticks_max,0
string_body_core-1-ba27e93c,string_body_core,core,syscall.getppid_cost_ticks_total,0
string_body_core-1-ba27e93c,string_body_core,core,syscall.syscall_cost_max_ticks,201316032104
string_body_core-1-ba27e93c,string_body_core,core,syscall.syscall_cost_ticks_total,202449849034
string_body_core-1-ba27e93c,string_body_core,core,syscall.syscall_getppid_total,0
string_body_core-1-ba27e93c,string_body_core,core,syscall.syscall_total,206
string_body_core-1-ba27e93c,string_body_core,core,syscall.user_unaligned_ticks_max,9387
string_body_core-1-ba27e93c,string_body_core,core,syscall.user_unaligned_ticks_total,789751518
string_body_core-1-ba27e93c,string_body_core,core,syscall.user_unaligned_traps,373371
string_body_core-1-ba27e93c,string_body_core,core,taskq.add_interruptible_total,11
string_body_core-1-ba27e93c,string_body_core,core,taskq.add_ready_total,1164
string_body_core-1-ba27e93c,string_body_core,core,taskq.dup_enqueue_total,0
string_body_core-1-ba27e93c,string_body_core,core,taskq.fair_pick_calls,0
string_body_core-1-ba27e93c,string_body_core,core,taskq.fair_scan_max,0
string_body_core-1-ba27e93c,string_body_core,core,taskq.fast_path_calls,1164
string_body_core-1-ba27e93c,string_body_core,core,taskq.interruptible_len_max,5
string_body_core-1-ba27e93c,string_body_core,core,taskq.interruptible_zombie_max,0
string_body_core-1-ba27e93c,string_body_core,core,taskq.ready_len_max,2
string_body_core-1-ba27e93c,string_body_core,core,taskq.ready_nonzero_nice_cur,0
string_body_core-1-ba27e93c,string_body_core,core,taskq.ready_zombie_max,0
string_body_core-1-ba27e93c,string_body_core,core,taskq.wake_interruptible_total,11
string_body_core-1-ba27e93c,string_body_core,core,taskq.zombie_drain_calls,0
string_body_core-1-ba27e93c,string_body_core,core,taskq.zombie_drain_removed,0
string_body_core-1-ba27e93c,string_body_core,core,taskq.zombie_drain_scan_total,0
string_body_core-1-ba27e93c,string_body_core,core,timer.ktimer_add_total,11
string_body_core-1-ba27e93c,string_body_core,core,timer.ktimer_compact_calls,0
string_body_core-1-ba27e93c,string_body_core,core,timer.ktimer_len_max,1
string_body_core-1-ba27e93c,string_body_core,core,timer.ktimer_pop_max,1
string_body_core-1-ba27e93c,string_body_core,core,timer.ktimer_pop_total,1153
string_body_core-1-ba27e93c,string_body_core,core,timer.ktimer_real_wake,11
string_body_core-1-ba27e93c,string_body_core,core,timer.ktimer_stale_removed,0
string_body_core-1-ba27e93c,string_body_core,core,timer.ktimer_stale_waketask,0
string_body_core-1-ba27e93c,string_body_core,core,timer.timer_irq_ticks_max,21294
string_body_core-1-ba27e93c,string_body_core,core,timer.timer_irq_ticks_total,3317868
string_body_core-1-ba27e93c,string_body_core,core,timer.timer_pop_nodes_total,11
string_body_core-1-ba27e93c,string_body_core,core,timer.timer_pop_ticks_max,720
string_body_core-1-ba27e93c,string_body_core,core,timer.timer_pop_ticks_total,136981
string_body_core-1-ba27e93c,string_body_core,core,timer.wait_with_timeout_total,11
float_body_core-1-e2a17327,float_body_core,core,boot.boot_console_ticks,0
float_body_core-1-e2a17327,float_body_core,core,boot.boot_drivers_ticks,0
float_body_core-1-e2a17327,float_body_core,core,boot.boot_fs_ticks,0
float_body_core-1-e2a17327,float_body_core,core,boot.boot_initproc_ticks,0
float_body_core-1-e2a17327,float_body_core,core,boot.boot_mm_ticks,0
float_body_core-1-e2a17327,float_body_core,core,boot.boot_net_ticks,0
float_body_core-1-e2a17327,float_body_core,core,boot.boot_scheduler_ticks,0
float_body_core-1-e2a17327,float_body_core,core,boot.clock_freq_hz,0
float_body_core-1-e2a17327,float_body_core,core,ctxsw.context_switch_total,14610
float_body_core-1-e2a17327,float_body_core,core,seccomp.seccomp_check_calls,0
float_body_core-1-e2a17327,float_body_core,core,seccomp.seccomp_check_ticks_max,0
float_body_core-1-e2a17327,float_body_core,core,seccomp.seccomp_check_ticks_total,0
float_body_core-1-e2a17327,float_body_core,core,seccomp.seccomp_disabled_bypass,0
float_body_core-1-e2a17327,float_body_core,core,syscall.ecall_trap_cost_ticks_max,226062736118
float_body_core-1-e2a17327,float_body_core,core,syscall.ecall_trap_cost_ticks_total,233262900795
float_body_core-1-e2a17327,float_body_core,core,syscall.getppid_cost_ticks_max,0
float_body_core-1-e2a17327,float_body_core,core,syscall.getppid_cost_ticks_total,0
float_body_core-1-e2a17327,float_body_core,core,syscall.syscall_cost_max_ticks,226062735924
float_body_core-1-e2a17327,float_body_core,core,syscall.syscall_cost_ticks_total,233262868505
float_body_core-1-e2a17327,float_body_core,core,syscall.syscall_getppid_total,0
float_body_core-1-e2a17327,float_body_core,core,syscall.syscall_total,156
float_body_core-1-e2a17327,float_body_core,core,syscall.user_unaligned_ticks_max,4036
float_body_core-1-e2a17327,float_body_core,core,syscall.user_unaligned_ticks_total,4714923728
float_body_core-1-e2a17327,float_body_core,core,syscall.user_unaligned_traps,3000039
float_body_core-1-e2a17327,float_body_core,core,taskq.add_interruptible_total,72
float_body_core-1-e2a17327,float_body_core,core,taskq.add_ready_total,7305
float_body_core-1-e2a17327,float_body_core,core,taskq.dup_enqueue_total,0
float_body_core-1-e2a17327,float_body_core,core,taskq.fair_pick_calls,0
float_body_core-1-e2a17327,float_body_core,core,taskq.fair_scan_max,0
float_body_core-1-e2a17327,float_body_core,core,taskq.fast_path_calls,7305
float_body_core-1-e2a17327,float_body_core,core,taskq.interruptible_len_max,5
float_body_core-1-e2a17327,float_body_core,core,taskq.interruptible_zombie_max,0
float_body_core-1-e2a17327,float_body_core,core,taskq.ready_len_max,2
float_body_core-1-e2a17327,float_body_core,core,taskq.ready_nonzero_nice_cur,0
float_body_core-1-e2a17327,float_body_core,core,taskq.ready_zombie_max,0
float_body_core-1-e2a17327,float_body_core,core,taskq.wake_interruptible_total,72
float_body_core-1-e2a17327,float_body_core,core,taskq.zombie_drain_calls,0
float_body_core-1-e2a17327,float_body_core,core,taskq.zombie_drain_removed,0
float_body_core-1-e2a17327,float_body_core,core,taskq.zombie_drain_scan_total,0
float_body_core-1-e2a17327,float_body_core,core,timer.ktimer_add_total,72
float_body_core-1-e2a17327,float_body_core,core,timer.ktimer_compact_calls,0
float_body_core-1-e2a17327,float_body_core,core,timer.ktimer_len_max,1
float_body_core-1-e2a17327,float_body_core,core,timer.ktimer_pop_max,1
float_body_core-1-e2a17327,float_body_core,core,timer.ktimer_pop_total,7233
float_body_core-1-e2a17327,float_body_core,core,timer.ktimer_real_wake,72
float_body_core-1-e2a17327,float_body_core,core,timer.ktimer_stale_removed,0
float_body_core-1-e2a17327,float_body_core,core,timer.ktimer_stale_waketask,0
float_body_core-1-e2a17327,float_body_core,core,timer.timer_irq_ticks_max,18580
float_body_core-1-e2a17327,float_body_core,core,timer.timer_irq_ticks_total,17204226
float_body_core-1-e2a17327,float_body_core,core,timer.timer_pop_nodes_total,72
float_body_core-1-e2a17327,float_body_core,core,timer.timer_pop_ticks_max,243
float_body_core-1-e2a17327,float_body_core,core,timer.timer_pop_ticks_total,581153
float_body_core-1-e2a17327,float_body_core,core,timer.wait_with_timeout_total,72
ext4_string_core_class-1-d6cf6951,ext4_string_core_class,core,boot.boot_console_ticks,0
