sample_id,test,benchmark,arch,platform,build_mode,cache_state,source_revision,pyperformance_revision,suite_sha256,python_version,machine,sample,elapsed_seconds,elapsed_ns,user_seconds,sys_seconds,max_rss,result
nbody_diag_off-2-6e035565,nbody_diag_off,bm_nbody,la64,2k1000la,diag_off,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,8d81107b14bb280b4cfda1b67d1e4ac12b987eb4bcf019cc08f7aa598969db91,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,8.54936258,8549362580,8.512614999999998,0.023761999999999617,16540,-0.169078070659
nb_on-1-a8aaa52f,nb_on,bm_nbody,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,8d81107b14bb280b4cfda1b67d1e4ac12b987eb4bcf019cc08f7aa598969db91,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,8.56475922,8564759220,8.526111000000002,0.024977999999999057,16540,-0.169078070659
nbody_body_core-1-811202c0,nbody_body_core,bm_nbody,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,8.53935574,8539355740,8.503721999999998,0.02581799999999923,16716,-0.169078070659
string_body_off-1-fd3c6c52,string_body_off,bm_string,la64,2k1000la,diag_off,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,11.32802633,11328026330,2.7868379999999995,8.520565,23544,3827289
string_body_core-1-ba27e93c,string_body_core,bm_string,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,11.49826326,11498263260,2.8054299999999994,8.675764,23572,3827289
float_body_core-1-e2a17327,float_body_core,bm_float,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,71.61463356,71614633560,21.818709999999996,49.684270999999995,16720,9559531.70473361
ext4_string_core_class-1-d6cf6951,ext4_string_core_class,bm_string,la64,2k1000la,diag_on,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,11.45733402,11457334020,2.836119000000002,8.602696,23572,3827289
ext4_float_core_class-1-97520414,ext4_float_core_class,bm_float,la64,2k1000la,diag_on,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,71.11718914,71117189140,21.829595999999995,49.175025,16720,9559531.70473361
ext4_string_memory-1-588e54d5,ext4_string_memory,bm_string,la64,2k1000la,diag_on,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,11.62156137,11621561370,2.867254000000001,8.736127999999999,23572,3827289
ext4_fileio_scaled_memory-2-810a43f4,ext4_fileio_scaled_memory,bm_fileio,la64,2k1000la,diag_on,ext4-freshdir,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,1.03633172,1036331720,0.22443900000000028,0.8147219999999997,16764,
ext4_fileio_scaled_core-1-88d95eef,ext4_fileio_scaled_core,bm_fileio,la64,2k1000la,diag_on,ext4-freshdir,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,1.02901169,1029011690,0.22694100000000006,0.8050230000000003,16764,
ext4_fileio_scaled_off-1-85936ce0,ext4_fileio_scaled_off,bm_fileio,la64,2k1000la,diag_off,ext4-freshdir,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,1.02313303,1023133030,0.22156600000000104,0.8006790000000006,16812,
