sample_id,test,benchmark,arch,platform,build_mode,cache_state,source_revision,pyperformance_revision,suite_sha256,python_version,machine,status,samples,warmups,median_seconds,min_seconds,max_seconds,mean_seconds,cv_percent,error_type,error,perf_counter_resolution_seconds,tmpdir,pycache_prefix
nbody_diag_off-2-6e035565,nbody_diag_off,bm_nbody,la64,2k1000la,diag_off,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,8d81107b14bb280b4cfda1b67d1e4ac12b987eb4bcf019cc08f7aa598969db91,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,0,8.54936258,8.54936258,8.54936258,8.54936258,0.0,,,1e-08,/scratch/cpython-bench/run-147/tmp,
nb_on-1-a8aaa52f,nb_on,bm_nbody,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,8d81107b14bb280b4cfda1b67d1e4ac12b987eb4bcf019cc08f7aa598969db91,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,0,8.56475922,8.56475922,8.56475922,8.56475922,0.0,,,1e-08,/scratch/cpython-bench/run-166/tmp,
nbody_body_core-1-811202c0,nbody_body_core,bm_nbody,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,0,8.53935574,8.53935574,8.53935574,8.53935574,0.0,,,1e-08,/scratch/cpython-bench/run-210/tmp,
string_body_off-1-fd3c6c52,string_body_off,bm_string,la64,2k1000la,diag_off,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,0,11.32802633,11.32802633,11.32802633,11.32802633,0.0,,,1e-08,/scratch/cpython-bench/run-230/tmp,
string_body_core-1-ba27e93c,string_body_core,bm_string,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,0,11.49826326,11.49826326,11.49826326,11.49826326,0.0,,,1e-08,/scratch/cpython-bench/run-250/tmp,
float_body_core-1-e2a17327,float_body_core,bm_float,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,0,71.61463356,71.61463356,71.61463356,71.61463356,0.0,,,1e-08,/scratch/cpython-bench/run-276/tmp,
ext4_string_core_class-1-d6cf6951,ext4_string_core_class,bm_string,la64,2k1000la,diag_on,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,0,11.45733402,11.45733402,11.45733402,11.45733402,0.0,,,1e-08,/persist/pyperf/work/run-144/tmp,
ext4_float_core_class-1-97520414,ext4_float_core_class,bm_float,la64,2k1000la,diag_on,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,0,71.11718914,71.11718914,71.11718914,71.11718914,0.0,,,1e-08,/persist/pyperf/work/run-170/tmp,
ext4_string_memory-1-588e54d5,ext4_string_memory,bm_string,la64,2k1000la,diag_on,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,e45f6e332e3d34ddde2f574a8890e6e8eae38c3feebf51f4a114a1c45a69f184,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,0,11.62156137,11.62156137,11.62156137,11.62156137,0.0,,,1e-08,/persist/pyperf/work/run-195/tmp,
ext4_fileio_scaled_memory-2-810a43f4,ext4_fileio_scaled_memory,bm_fileio,la64,2k1000la,diag_on,ext4-freshdir,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,0,1.03633172,1.03633172,1.03633172,1.03633172,0.0,,,1e-08,/persist/pyperf/w/run-268/tmp,
