test,arch,platform,build_mode,cache_state,samples,median_seconds,min_seconds,max_seconds,cv_percent
clock_sleep_shell,la64,2k1000la,diag_off,n/a,1,1.03924525,1.03924525,1.03924525,
cpybench_deploy,la64,2k1000la,diag_off,deployment,9,28.671700125,28.496742583000003,29.808435875,1.5779483855599334
cpybench_sha256,la64,2k1000la,diag_off,deployment,9,1.9058879169999994,1.9016640839999992,1.9355160840000005,0.511570392068018
cpybench_verify,la64,2k1000la,diag_off,deployment,9,0.15023820799999932,0.14947070900000003,0.1531504589999999,0.9420738175554888
diag_features,la64,2k1000la,diag_off,unspecified,1,0.1248151669999995,0.1248151669999995,0.1248151669999995,
ext4_fileio_scaled_core,la64,2k1000la,diag_on,ext4-freshdir,1,28.274383709,28.274383709,28.274383709,
ext4_fileio_scaled_memory,la64,2k1000la,diag_on,ext4-freshdir,1,28.246356458,28.246356458,28.246356458,
ext4_fileio_scaled_off,la64,2k1000la,diag_off,ext4-freshdir,1,27.889473917000004,27.889473917000004,27.889473917000004,
ext4_float_core_class,la64,2k1000la,diag_on,ext4-warm,1,97.81148125,97.81148125,97.81148125,
ext4_math_function_attribution,la64,2k1000la,diag_on,ext4-runtime,2,12.365934521,8.784434166999999,15.947434875,28.96263398385175
ext4_mmap_release_16m,la64,2k1000la,diag_on,resident-private,1,8.367340666999999,8.367340666999999,8.367340666999999,
ext4_mmap_release_1m,la64,2k1000la,diag_on,resident-private,1,8.006188875000001,8.006188875000001,8.006188875000001,
ext4_mmap_release_32m,la64,2k1000la,diag_on,resident-private,1,9.211546541999999,9.211546541999999,9.211546541999999,
ext4_mmap_release_4m,la64,2k1000la,diag_on,resident-private,1,8.04933725,8.04933725,8.04933725,
ext4_mmap_release_64m,la64,2k1000la,diag_on,resident-private,1,12.437669875000001,12.437669875000001,12.437669875000001,
ext4_mount_probe,la64,2k1000la,diag_off,n/a,1,0.895096916,0.895096916,0.895096916,
ext4_short_paths,la64,2k1000la,diag_off,ext4,1,0.16190054099999962,0.16190054099999962,0.16190054099999962,
ext4_string_core_class,la64,2k1000la,diag_on,ext4-warm,1,38.687359292,38.687359292,38.687359292,
ext4_string_memory,la64,2k1000la,diag_on,ext4-warm,1,38.91115125,38.91115125,38.91115125,
float_body_core,la64,2k1000la,diag_on,warm-runtime,1,98.407900042,98.407900042,98.407900042,
nb_on,la64,2k1000la,diag_on,warm-runtime,1,35.343257917,35.343257917,35.343257917,
nbody_body_core,la64,2k1000la,diag_on,warm-runtime,1,35.334718208,35.334718208,35.334718208,
nbody_diag_off,la64,2k1000la,diag_off,warm-runtime,1,35.161061917,35.161061917,35.161061917,
scratch_post_reboot_audit,la64,2k1000la,diag_off,unspecified,1,0.18738729199999948,0.18738729199999948,0.18738729199999948,
scratch_redeploy_sync,la64,2k1000la,diag_off,unspecified,1,0.6719404170000001,0.6719404170000001,0.6719404170000001,
string_body_core,la64,2k1000la,diag_on,warm-runtime,1,38.903196209,38.903196209,38.903196209,
string_body_off,la64,2k1000la,diag_off,warm-runtime,1,38.415607832999996,38.415607832999996,38.415607832999996,
