sample_id,test,benchmark,arch,platform,build_mode,cache_state,source_revision,pyperformance_revision,suite_sha256,python_version,machine,sample,elapsed_seconds,elapsed_ns,user_seconds,sys_seconds,max_rss,result
cpython_bench_bytesio-1-7e6b6665,cpython_bench_bytesio,bm_bytesio,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,69.7413767,69741376700,36.507609,33.127625,16732,3556178
cpython_bench_chaos-1-b584c66e,cpython_bench_chaos,bm_chaos,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,199.54113057,199541130570,96.79021499999999,102.450277,16688,"(3675, 377482, 1563)"
cpython_bench_decimal-1-3ca50c0d,cpython_bench_decimal,bm_decimal,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,39.15315191,39153151910,28.732116000000005,10.341033999999997,17956,339998
cpython_bench_fileio-1-db88d12b,cpython_bench_fileio,bm_fileio,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,48.67692665,48676926650,14.389204,34.200066,16812,
cpython_bench_float-1-0ac39a0a,cpython_bench_float,bm_float,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,150.03331754,150033317540,100.00669400000001,49.80653,16700,9559531.70473361
cpython_bench_fork-1-6f98bebe,cpython_bench_fork,bm_fork,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,124.35805931,124358059310,1.0846739999999997,1.2308900000000005,17168,
cpython_bench_hash-1-2df5e3d5,cpython_bench_hash,bm_hash,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,7.84850686,7848506860,5.782183000000003,2.053315999999999,21928,'a1214b1b503ee8f54a92f0d26c098910888bc65627253d4145fb5ca7253edf7a'
cpython_bench_json_loads-1-721fe3ba,cpython_bench_json_loads,bm_json_loads,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,255.94736825,255947368250,213.572396,41.921445,16764,"(2, 200, 199)"
cpython_bench_list-1-8ad561ef,cpython_bench_list,bm_list,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,54.58464682,54584646820,30.053125999999992,24.441104000000003,27988,666670333333
cpython_bench_nbody-1-3ce82cf1,cpython_bench_nbody,bm_nbody,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,8.70811702,8708117020,8.671375999999999,0.02395499999999906,16692,-0.169078070659
cpython_bench_pidigits-1-2d146c33,cpython_bench_pidigits,bm_pidigits,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,6.09329696,6093296960,4.873268000000003,1.210616,16712,'8133904780275900'
cpython_bench_richards-1-d83cc230,cpython_bench_richards,bm_richards,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,1,33.19738164,33197381640,18.058939000000002,15.086117000000002,16704,"(9297, 23246)"
