sample_id,test,benchmark,arch,platform,build_mode,cache_state,source_revision,pyperformance_revision,suite_sha256,python_version,machine,status,samples,warmups,median_seconds,min_seconds,max_seconds,mean_seconds,cv_percent,error_type,error,perf_counter_resolution_seconds,tmpdir,pycache_prefix
cpython_bench_bytesio-1-7e6b6665,cpython_bench_bytesio,bm_bytesio,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,69.7413767,69.7413767,69.7413767,69.7413767,0.0,,,1e-08,/persist/pyperf/w/run-115/tmp,
cpython_bench_chaos-1-b584c66e,cpython_bench_chaos,bm_chaos,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,199.54113057,199.54113057,199.54113057,199.54113057,0.0,,,1e-08,/persist/pyperf/w/run-144/tmp,
cpython_bench_decimal-1-3ca50c0d,cpython_bench_decimal,bm_decimal,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,39.15315191,39.15315191,39.15315191,39.15315191,0.0,,,1e-08,/persist/pyperf/w/run-158/tmp,
cpython_bench_dict-1-29c44077,cpython_bench_dict,bm_dict,la64,2k1000la,production,ext4-warm,,,,,,pass,1,1,61.23026413,61.23026413,61.23026413,61.23026413,0.0,,,,,
cpython_bench_fileio-1-db88d12b,cpython_bench_fileio,bm_fileio,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,48.67692665,48.67692665,48.67692665,48.67692665,0.0,,,1e-08,/persist/pyperf/w/run-186/tmp,
cpython_bench_float-1-0ac39a0a,cpython_bench_float,bm_float,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,150.03331754,150.03331754,150.03331754,150.03331754,0.0,,,1e-08,/persist/pyperf/w/run-200/tmp,
cpython_bench_fork-1-6f98bebe,cpython_bench_fork,bm_fork,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,124.35805931,124.35805931,124.35805931,124.35805931,0.0,,,1e-08,/persist/pyperf/w/run-214/tmp,
cpython_bench_hash-1-2df5e3d5,cpython_bench_hash,bm_hash,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,7.84850686,7.84850686,7.84850686,7.84850686,0.0,,,1e-08,/persist/pyperf/w/run-358/tmp,
cpython_bench_json_loads-1-721fe3ba,cpython_bench_json_loads,bm_json_loads,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,255.94736825,255.94736825,255.94736825,255.94736825,0.0,,,1e-08,/persist/pyperf/w/run-372/tmp,
cpython_bench_list-1-8ad561ef,cpython_bench_list,bm_list,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,54.58464682,54.58464682,54.58464682,54.58464682,0.0,,,1e-08,/persist/pyperf/w/run-386/tmp,
cpython_bench_nbody-1-3ce82cf1,cpython_bench_nbody,bm_nbody,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,8.70811702,8.70811702,8.70811702,8.70811702,0.0,,,1e-08,/persist/pyperf/w/run-400/tmp,
cpython_bench_pidigits-1-2d146c33,cpython_bench_pidigits,bm_pidigits,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,6.09329696,6.09329696,6.09329696,6.09329696,0.0,,,1e-08,/persist/pyperf/w/run-414/tmp,
cpython_bench_regex-1-badcb7ac,cpython_bench_regex,bm_regex,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,421.44744253,421.44744253,421.44744253,421.44744253,0.0,,,1e-08,/persist/pyperf/w/run-428/tmp,
cpython_bench_richards-1-d83cc230,cpython_bench_richards,bm_richards,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,33.19738164,33.19738164,33.19738164,33.19738164,0.0,,,1e-08,/persist/pyperf/w/run-442/tmp,
cpython_bench_sort-1-d2234c12,cpython_bench_sort,bm_sort,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,83.75005545,83.75005545,83.75005545,83.75005545,0.0,,,1e-08,/persist/pyperf/w/run-456/tmp,
cpython_bench_spectral_norm-1-553f3e11,cpython_bench_spectral_norm,bm_spectral_norm,la64,2k1000la,production,ext4-warm,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jun 20 2026, 00:29:39) [GCC 15.2.0]",la64,pass,1,1,99.80495559,99.80495559,99.80495559,99.80495559,0.0,,,1e-08,/persist/pyperf/w/run-470/tmp,
