test,arch,platform,build_mode,cache_state,samples,median_seconds,min_seconds,max_seconds,cv_percent
cpython_bench_bytesio,la64,2k1000la,production,ext4-warm,1,173.708927375,173.708927375,173.708927375,
cpython_bench_chaos,la64,2k1000la,production,ext4-warm,1,435.455680083,435.455680083,435.455680083,
cpython_bench_decimal,la64,2k1000la,production,ext4-warm,1,113.980106542,113.980106542,113.980106542,
cpython_bench_dict,la64,2k1000la,production,ext4-warm,1,158.328548584,158.328548584,158.328548584,
cpython_bench_fileio,la64,2k1000la,production,ext4-warm,1,133.928758583,133.928758583,133.928758583,
cpython_bench_float,la64,2k1000la,production,ext4-warm,1,335.743338542,335.743338542,335.743338542,
cpython_bench_fork,la64,2k1000la,production,ext4-warm,1,287.932436875,287.932436875,287.932436875,
cpython_bench_hash,la64,2k1000la,production,ext4-warm,1,51.483058292,51.483058292,51.483058292,
cpython_bench_json_loads,la64,2k1000la,production,ext4-warm,1,549.5121004169999,549.5121004169999,549.5121004169999,
cpython_bench_list,la64,2k1000la,production,ext4-warm,1,144.64339283299998,144.64339283299998,144.64339283299998,
cpython_bench_nbody,la64,2k1000la,production,ext4-warm,1,53.02147170799999,53.02147170799999,53.02147170799999,
cpython_bench_pidigits,la64,2k1000la,production,ext4-warm,1,48.008318459,48.008318459,48.008318459,
cpython_bench_regex,la64,2k1000la,production,ext4-warm,1,878.404757958,878.404757958,878.404757958,
cpython_bench_richards,la64,2k1000la,production,ext4-warm,1,102.377659416,102.377659416,102.377659416,
cpython_bench_sort,la64,2k1000la,production,ext4-warm,1,203.091315541,203.091315541,203.091315541,
cpython_bench_spectral_norm,la64,2k1000la,production,ext4-warm,1,235.520396541,235.520396541,235.520396541,
cpython_bench_string,la64,2k1000la,production,ext4-warm,1,67.59340862500001,67.59340862500001,67.59340862500001,
cpython_bench_thread,la64,2k1000la,production,ext4-warm,1,535.0695671670001,535.0695671670001,535.0695671670001,
ext4_post_bundle_sha256,la64,2k1000la,production,ext4,1,0.12490749999999995,0.12490749999999995,0.12490749999999995,
ext4_post_mount,la64,2k1000la,production,ext4,1,0.1290650000000002,0.1290650000000002,0.1290650000000002,
ext4_post_sync,la64,2k1000la,production,ext4,1,0.06215637499999982,0.06215637499999982,0.06215637499999982,
ext4_post_workdir,la64,2k1000la,production,ext4,1,0.055292999999999815,0.055292999999999815,0.055292999999999815,
ext4_resume_probe,la64,2k1000la,production,ext4,1,0.005210125000000065,0.005210125000000065,0.005210125000000065,
persist_shell_path,la64,2k1000la,production,ext4-warm,1,0.044678666999999894,0.044678666999999894,0.044678666999999894,
persist_shell_script,la64,2k1000la,production,ext4-warm,1,0.07825745799999995,0.07825745799999995,0.07825745799999995,
python_import_runner,la64,2k1000la,production,ext4-warm,1,6.769211417000001,6.769211417000001,6.769211417000001,
python_import_runner_warmup,la64,2k1000la,production,ext4-warm,1,7.876749582999999,7.876749582999999,7.876749582999999,
python_startup_minus_s,la64,2k1000la,production,ext4-warm,1,1.1589758750000003,1.1589758750000003,1.1589758750000003,
python_startup_minus_s_warmup,la64,2k1000la,production,ext4-warm,1,1.1765323749999999,1.1765323749999999,1.1765323749999999,
python_startup_site,la64,2k1000la,production,ext4-warm,1,1.6300684579999998,1.6300684579999998,1.6300684579999998,
python_startup_site_warmup,la64,2k1000la,production,ext4-warm,1,1.6673117500000005,1.6673117500000005,1.6673117500000005,
