test,arch,platform,build_mode,cache_state,samples,median_seconds,min_seconds,max_seconds,cv_percent
aligned_pillow_artifact_verify,la64,docker,strict_aligned,warm,1,41.284616041,41.284616041,41.284616041,
aligned_pillow_p4_ext4_io,la64,2k1000la,production,warm,1,6.0708832909999995,6.0708832909999995,6.0708832909999995,
aligned_pillow_qemu_smoke,la64,qemu-user,strict_aligned,warm,1,3.454838875,3.454838875,3.454838875,
aligned_pillow_runtime_build,la64,docker,strict_aligned,warm,1,251.600820583,251.600820583,251.600820583,
aligned_python_native_closure_build,la64,docker,strict_aligned,warm,1,191.687579917,191.687579917,191.687579917,
aligned_python_pyyaml_build,la64,host-docker,production,warm,1,168.581404333,168.581404333,168.581404333,
cpython_l3_l9_final,la64,2k1000la,production,warm,1,49.045761791,49.045761791,49.045761791,
final_la64_kernel_build,la64,docker,production,warm,1,91.54320395799999,91.54320395799999,91.54320395799999,
final_rv64_kernel_build,rv64,docker,production,warm,1,83.36086704200001,83.36086704200001,83.36086704200001,
la64_kernel_build_gate,la64,docker,release,warm,1,90.125795708,90.125795708,90.125795708,
p4_failed_stage_cleanup,la64,2k1000la,production,deployment,1,4.899976917,4.899976917,4.899976917,
p4_final_prune,la64,2k1000la,production,deployment,1,36.535432042,36.535432042,36.535432042,
p4_final_state,la64,2k1000la,production,warm,1,1.5097225419999996,1.5097225419999996,1.5097225419999996,
p4_old_release_manifest_audit,la64,2k1000la,production,deployment,1,0.22293641700000055,0.22293641700000055,0.22293641700000055,
p4_old_release_prune,la64,2k1000la,production,deployment,1,108.924218292,108.924218292,108.924218292,
p4_post_prune_audit,la64,2k1000la,production,deployment,1,1.6498398749999996,1.6498398749999996,1.6498398749999996,
p4_stale_part_cleanup,la64,2k1000la,production,deployment,1,0.2293590839999995,0.2293590839999995,0.2293590839999995,
persist_default_gate,la64,2k1000la,production,warm,1,137.598552083,137.598552083,137.598552083,
pillow_ext4_smoke,la64,2k1000la,production,warm,1,6.230044499999999,6.230044499999999,6.230044499999999,
pyctl_get,la64,2k1000la,production,deployment,5,0.07130995900000014,0.06484929200000034,0.07534562499999975,5.537749128711932
pyctl_rm,la64,2k1000la,production,deployment,3,0.038972666999999905,0.03866479200000006,0.040456834,1.987493111635956
pyctl_run,la64,2k1000la,production,deployment,3,738.654277083,715.1338002079999,1160.473395417,23.480822375766973
pyctl_sha,la64,2k1000la,production,deployment,5,0.047754041000000136,0.04665208399999976,0.048113208000000185,1.1153376561314499
rv64_kernel_build_gate,rv64,docker,release,warm,1,77.00121175,77.00121175,77.00121175,
smolagent_agentimage,la64,2k1000la,production,warm,1,27.201502333999997,27.201502333999997,27.201502333999997,
smolagent_declared_requirements,la64,2k1000la,production,warm,1,4.434047208,4.434047208,4.434047208,
smolagent_dependency_metadata,la64,2k1000la,production,warm,1,5.172241625,5.172241625,5.172241625,
smolagent_direct_dependency_inventory,la64,2k1000la,production,warm,1,17.634450375,17.634450375,17.634450375,
