test,arch,platform,build_mode,cache_state,samples,median_seconds,min_seconds,max_seconds,cv_percent
anon_mmap_release_16m,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,2.7101634169999986,2.7101634169999986,2.7101634169999986,
anon_mmap_release_16m_warm,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,2.7017461660000013,2.7017461660000013,2.7017461660000013,
anon_mmap_release_1m,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,2.3389887500000004,2.3389887500000004,2.3389887500000004,
anon_mmap_release_1m_warm,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,2.5672106669999994,2.5672106669999994,2.5672106669999994,
anon_mmap_release_32m,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,3.5812866669999988,3.5812866669999988,3.5812866669999988,
anon_mmap_release_32m_warm,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,3.584904292000001,3.584904292000001,3.584904292000001,
anon_mmap_release_4m,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,2.3778746660000003,2.3778746660000003,2.3778746660000003,
anon_mmap_release_4m_warm,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,2.387002542000001,2.387002542000001,2.387002542000001,
anon_mmap_release_64m,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,6.812557584,6.812557584,6.812557584,
anon_mmap_release_64m_warm,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,6.812538875000001,6.812538875000001,6.812538875000001,
board_p4_mount,la64,2k1000la,diag_on,p4-ext4,1,0.08543141700000056,0.08543141700000056,0.08543141700000056,
board_strict_runtime_canonical,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,0.6471475839999989,0.6471475839999989,0.6471475839999989,
board_strict_runtime_manifest_smoke,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,3.8776872079999993,3.8776872079999993,3.8776872079999993,
board_strict_runtime_smoke,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,0.9334257499999996,0.9334257499999996,0.9334257499999996,
cpython_bench_bytesio,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,25.443648416000002,25.443648416000002,25.443648416000002,
cpython_bench_dict,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,26.136189833,26.136189833,26.136189833,
cpython_bench_fork,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,73.987674958,73.987674958,73.987674958,
cpython_bench_json_loads,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,183.527488583,183.527488583,183.527488583,
cpython_bench_list,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,55.931574084000005,55.931574084000005,55.931574084000005,
cpython_bench_thread,la64,2k1000la,diag_on,p4-ext4-strict-runtime,1,65.081962417,65.081962417,65.081962417,
qemu_la64_anon_diag_smoke,la64,qemu,diag_on,n_a,1,18.022343667,18.022343667,18.022343667,
qemu_rv64_anon_diag_smoke,rv64,qemu,diag_on,n_a,1,17.587235292,17.587235292,17.587235292,
