sample_id,test,benchmark,arch,platform,build_mode,cache_state,source_revision,pyperformance_revision,suite_sha256,python_version,machine,sample,elapsed_seconds,elapsed_ns,user_seconds,sys_seconds,max_rss,result
cpython_bench_bytesio-1-53bba8e1,cpython_bench_bytesio,bm_bytesio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,5.82614787,5826147870,4.467131,1.3499300000000005,17728,3556178
cpython_bench_chaos-1-cc721f08,cpython_bench_chaos,bm_chaos,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,14.59169547,14591695470,14.513305999999996,0.05005100000000029,17688,"(3675, 377482, 1563)"
cpython_bench_decimal-1-8cc4fb9b,cpython_bench_decimal,bm_decimal,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,15.29126354,15291263540,14.606997999999997,0.6483589999999997,18836,339998
cpython_bench_dict-1-eab8922a,cpython_bench_dict,bm_dict,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,6.24629224,6246292240,4.953064000000001,1.2804710000000004,20312,257500000020
cpython_bench_fileio-1-04d12d92,cpython_bench_fileio,bm_fileio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,43.12707679,43127076790,8.607959000000001,34.418366000000006,17804,
cpython_bench_float-1-7879d37a,cpython_bench_float,bm_float,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,10.35825785,10358257850,10.316053,0.02706300000000006,17696,9559531.70473361
cpython_bench_fork-1-33bccb5d,cpython_bench_fork,bm_fork,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,38.01291723,38012917230,0.5541039999999988,0.7803000000000004,18208,
cpython_bench_hash-1-8be54887,cpython_bench_hash,bm_hash,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,3.41640009,3416400090,3.3574610000000025,0.05618299999999987,22916,'a1214b1b503ee8f54a92f0d26c098910888bc65627253d4145fb5ca7253edf7a'
cpython_bench_json_loads-1-53466a8a,cpython_bench_json_loads,bm_json_loads,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,80.79507381,80795073810,80.288421,0.2970039999999998,17768,"(2, 200, 199)"
cpython_bench_list-1-49cabc11,cpython_bench_list,bm_list,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,21.12246662,21122466620,12.969275000000003,8.105259,27820,666670333333
cpython_bench_nbody-1-eeada99d,cpython_bench_nbody,bm_nbody,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,7.59548427,7595484270,7.563465000000001,0.020751000000000186,17696,-0.169078070659
cpython_bench_pidigits-1-75fe1e85,cpython_bench_pidigits,bm_pidigits,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,4.66950223,4669502230,3.658342000000001,1.003495,17712,'8133904780275900'
cpython_bench_regex-1-3e66b6fe,cpython_bench_regex,bm_regex,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,4.53768746,4537687460,4.290953000000002,0.2398769999999999,19704,"(65080, 8245000)"
cpython_bench_richards-1-7799be4f,cpython_bench_richards,bm_richards,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,2.52114884,2521148840,2.509644999999999,0.010855999999999977,17708,"(9297, 23246)"
cpython_bench_sort-1-fe641395,cpython_bench_sort,bm_sort,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,9.56716802,9567168020,8.590620999999999,0.9536809999999996,27296,280000
cpython_bench_spectral_norm-1-f6c0f3fb,cpython_bench_spectral_norm,bm_spectral_norm,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,8.88051202,8880512020,8.840343999999998,0.02634599999999976,17720,1.274223601353
cpython_bench_string-1-8c3588a7,cpython_bench_string,bm_string,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,1.35406829,1354068290,0.908570000000001,0.44694500000000037,25524,3827289
cpython_bench_thread-1-be243ecf,cpython_bench_thread,bm_thread,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,25.55725312,25557253120,23.755384,0.8571490000000006,19220,
