sample_id,test,benchmark,arch,platform,build_mode,cache_state,source_revision,pyperformance_revision,suite_sha256,python_version,machine,status,samples,warmups,median_seconds,min_seconds,max_seconds,mean_seconds,cv_percent,error_type,error,perf_counter_resolution_seconds,tmpdir,pycache_prefix
cpython_bench_bytesio-1-53bba8e1,cpython_bench_bytesio,bm_bytesio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,5.82614787,5.82614787,5.82614787,5.82614787,0.0,,,1e-08,/persist/pyperf/w-sa-20260717a/run-239/tmp,
cpython_bench_chaos-1-cc721f08,cpython_bench_chaos,bm_chaos,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,14.59169547,14.59169547,14.59169547,14.59169547,0.0,,,1e-08,/persist/pyperf/w-sa-20260717a/run-275/tmp,
cpython_bench_decimal-1-8cc4fb9b,cpython_bench_decimal,bm_decimal,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,15.29126354,15.29126354,15.29126354,15.29126354,0.0,,,1e-08,/persist/pyperf/w-sa-20260717a/run-311/tmp,
cpython_bench_dict-1-eab8922a,cpython_bench_dict,bm_dict,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,6.24629224,6.24629224,6.24629224,6.24629224,0.0,,,1e-08,/persist/pyperf/w-sa-20260717a/run-347/tmp,
cpython_bench_fileio-1-04d12d92,cpython_bench_fileio,bm_fileio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,43.12707679,43.12707679,43.12707679,43.12707679,0.0,,,1e-08,/persist/pyperf/w-sa-20260717a/run-383/tmp,
cpython_bench_float-1-7879d37a,cpython_bench_float,bm_float,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,10.35825785,10.35825785,10.35825785,10.35825785,0.0,,,1e-08,/persist/pyperf/w-sa-20260717a/run-419/tmp,
cpython_bench_fork-1-33bccb5d,cpython_bench_fork,bm_fork,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,38.01291723,38.01291723,38.01291723,38.01291723,0.0,,,1e-08,/persist/pyperf/w-sa-20260717a/run-455/tmp,
cpython_bench_hash-1-8be54887,cpython_bench_hash,bm_hash,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,3.41640009,3.41640009,3.41640009,3.41640009,0.0,,,1e-08,/persist/pyperf/w-sa-20260717a/run-621/tmp,
cpython_bench_json_loads-1-53466a8a,cpython_bench_json_loads,bm_json_loads,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,80.79507381,80.79507381,80.79507381,80.79507381,0.0,,,1e-08,/persist/pyperf/w-sa-20260717a/run-657/tmp,
cpython_bench_list-1-49cabc11,cpython_bench_list,bm_list,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,21.12246662,21.12246662,21.12246662,21.12246662,0.0,,,1e-08,/persist/pyperf/w-sa-20260717a/run-693/tmp,
