test,arch,platform,build_mode,cache_state,samples,median_seconds,min_seconds,max_seconds,cv_percent
cpython_bench_bytesio,la64,2k1000la,diag_on,warm-runtime,1,25.687505792,25.687505792,25.687505792,
cpython_bench_chaos,la64,2k1000la,diag_on,warm-runtime,1,43.349932708,43.349932708,43.349932708,
cpython_bench_decimal,la64,2k1000la,diag_on,warm-runtime,1,44.28123425,44.28123425,44.28123425,
cpython_bench_dict,la64,2k1000la,diag_on,warm-runtime,1,26.608109542,26.608109542,26.608109542,
cpython_bench_fileio,la64,2k1000la,diag_on,warm-runtime,1,100.645604875,100.645604875,100.645604875,
cpython_bench_float,la64,2k1000la,diag_on,warm-runtime,1,34.817481,34.817481,34.817481,
cpython_bench_fork,la64,2k1000la,diag_on,warm-runtime,1,91.346158416,91.346158416,91.346158416,
cpython_bench_hash,la64,2k1000la,diag_on,warm-runtime,1,21.009015665999996,21.009015665999996,21.009015665999996,
cpython_bench_json_loads,la64,2k1000la,diag_on,warm-runtime,1,176.318861375,176.318861375,176.318861375,
cpython_bench_list,la64,2k1000la,diag_on,warm-runtime,1,56.098302165999996,56.098302165999996,56.098302165999996,
cpython_bench_nbody,la64,2k1000la,diag_on,warm-runtime,1,29.263873249999996,29.263873249999996,29.263873249999996,
cpython_bench_pidigits,la64,2k1000la,diag_on,warm-runtime,1,23.387621000000003,23.387621000000003,23.387621000000003,
cpython_bench_regex,la64,2k1000la,diag_on,warm-runtime,1,23.244686833000003,23.244686833000003,23.244686833000003,
cpython_bench_richards,la64,2k1000la,diag_on,warm-runtime,1,19.212099042,19.212099042,19.212099042,
cpython_bench_sort,la64,2k1000la,diag_on,warm-runtime,1,33.092459,33.092459,33.092459,
cpython_bench_spectral_norm,la64,2k1000la,diag_on,warm-runtime,1,31.838549125,31.838549125,31.838549125,
cpython_bench_string,la64,2k1000la,diag_on,warm-runtime,1,17.302224292,17.302224292,17.302224292,
cpython_bench_thread,la64,2k1000la,diag_on,warm-runtime,1,65.720478542,65.720478542,65.720478542,
scl,la64,2k1000la,diag_on,deployment,1,0.04121458300000036,0.04121458300000036,0.04121458300000036,
sni,la64,2k1000la,diag_on,deployment,1,0.15879345800000078,0.15879345800000078,0.15879345800000078,
snp,la64,2k1000la,diag_on,deployment,1,0.12538974999999963,0.12538974999999963,0.12538974999999963,
sns,la64,2k1000la,diag_on,deployment,1,83.14317675,83.14317675,83.14317675,
spf,la64,2k1000la,diag_on,postflight,1,0.41664033300000014,0.41664033300000014,0.41664033300000014,
spu,la64,2k1000la,diag_on,deployment,1,1.5193521249999997,1.5193521249999997,1.5193521249999997,
ssm,la64,2k1000la,diag_on,deployment,1,6.984319292,6.984319292,6.984319292,
strict_ext4_preflight,la64,2k1000la,diag_on,booted-ext4,1,0.2448820000000005,0.2448820000000005,0.2448820000000005,
strict_functional_l3_l9,la64,2k1000la,diag_on,strict-runtime,1,44.6502665,44.6502665,44.6502665,
strict_p4_mount,la64,2k1000la,diag_on,deployment,2,0.07862897899999988,0.07855908300000003,0.07869887499999972,0.0888934345692665
strict_p4_parent,la64,2k1000la,diag_on,deployment,2,0.07919400050000025,0.0785274170000001,0.0798605840000004,0.8417095938980235
strict_runtime_download,la64,2k1000la,diag_on,deployment,2,37.9049135205,37.712319166,38.097507875,0.5080986516321653
strict_runtime_prepare,la64,2k1000la,diag_on,deployment,2,0.11195833350000006,0.11132991699999994,0.11258675000000018,0.5612949749739862
strict_runtime_sha256,la64,2k1000la,diag_on,deployment,2,82.969093958,82.958098833,82.980089083,0.013252073122031142
strict_suite_preflight,la64,2k1000la,diag_on,ext4-existing-suite,1,23.297531375000002,23.297531375000002,23.297531375000002,
